CustomerKey,Full Name,Gender,DateFirstPurchase,City,State,Country
11085,Emily Johnson,Female,06-12-2020,Newport Beach,California,United States
11086,Ryan Brown,Male,02-07-2020,Santa Monica,California,United States
11087,Tamara Liang,Female,25-02-2020,Chula Vista,California,United States
11088,Hunter Davis,Male,13-01-2020,San Diego,California,United States
11089,Abigail Price,Female,29-12-2019,Long Beach,California,United States
11090,Trevor Bryant,Male,07-08-2018,Los Angeles,California,United States
11091,Dalton Perez,Male,29-01-2020,Haney,British Columbia,Canada
11092,Cheryl Diaz,Female,08-04-2018,East Brisbane,Queensland,Australia
11093,Aimee He,Female,07-04-2018,Wollongong,New South Wales,Australia
11094,Cedric Ma,Male,07-04-2020,Cranbourne,Victoria,Australia
11095,Chad Kumar,Male,01-04-2018,Port Macquarie,New South Wales,Australia
11096,Andrés Anand,Male,11-04-2018,North Sydney,New South Wales,Australia
11097,Edwin Nara,Male,04-04-2018,Warrnambool,Victoria,Australia
11098,Mallory Rubio,Female,11-02-2020,Rhodes,New South Wales,Australia
11099,Adam Ross,Male,07-04-2018,Port Macquarie,New South Wales,Australia
11100,Latasha Navarro,Female,16-04-2018,Cloverdale,South Australia,Australia
11101,Abby Sai,Female,29-04-2018,Cranbourne,Victoria,Australia
11102,Julia Nelson,Female,16-07-2020,Sydney,New South Wales,Australia
11103,Cassie Chande,Female,15-04-2018,Darlinghurst,New South Wales,Australia
11104,Edgar Sara,Male,04-05-2018,Gold Coast,Queensland,Australia
11105,Candace Fernandez,Female,14-05-2018,Matraville,New South Wales,Australia
11106,Jessie Liu,Male,18-05-2018,Warrnambool,Victoria,Australia
11107,Bianca Lin,Female,01-05-2018,St. Leonards,New South Wales,Australia
11108,Kari Alvarez,Female,03-05-2018,Port Macquarie,New South Wales,Australia
11109,Ruben Kapoor,Male,10-05-2018,South Melbourne,Victoria,Australia
11110,Curtis Yang,Male,01-05-2018,Darlinghurst,New South Wales,Australia
11111,Meredith Gutierrez,Female,20-05-2018,Geelong,Victoria,Australia
11112,Crystal Wang,Female,25-05-2018,Hervey Bay,Queensland,Australia
11113,Micheal Blanco,Male,01-02-2020,Perth,South Australia,Australia
11114,Leslie Moreno,Female,18-03-2020,Rhodes,New South Wales,Australia
11115,Alvin Cai,Male,10-02-2020,St. Leonards,New South Wales,Australia
11116,Clinton Carlson,Male,15-03-2020,Sydney,New South Wales,Australia
11117,April Deng,Female,06-05-2018,Matraville,New South Wales,Australia
11118,Alvin Zeng,Male,10-07-2020,Lavender Bay,New South Wales,Australia
11119,Evan James,Male,03-02-2020,Port Macquarie,New South Wales,Australia
11120,Beth Jiménez,Female,14-05-2018,Sydney,New South Wales,Australia
11121,Orlando Suarez,Male,24-06-2020,Newcastle,New South Wales,Australia
11122,Byron Vazquez,Male,21-02-2020,North Sydney,New South Wales,Australia
11123,Philip Alvarez,Male,17-04-2020,Sunbury,Victoria,Australia
11124,Ross Jordan,Male,05-05-2018,Warrnambool,Victoria,Australia
11125,Dana Navarro,Female,31-01-2020,Seaford,Victoria,Australia
11126,Shaun Carson,Male,28-05-2018,North Ryde,New South Wales,Australia
11127,Jan Edwards,Female,10-04-2020,San Gabriel,California,United States
11128,Samantha Long,Female,19-06-2020,Renton,Washington,United States
11129,Julia Wright,Female,06-08-2018,Sedro Woolley,Washington,United States
11130,Caroline Russell,Female,09-12-2020,Lebanon,Oregon,United States
11131,Amanda Rivera,Female,18-10-2020,Haney,British Columbia,Canada
11132,Melissa Richardson,Female,09-04-2020,Langford,British Columbia,Canada
11133,Angela Griffin,Female,30-12-2020,Lake Oswego,Oregon,United States
11134,Larry Townsend,Male,03-05-2018,Perth,South Australia,Australia
11135,Marcus Harris,Male,18-04-2020,Burlingame,California,United States
11136,Brianna Morgan,Female,03-01-2020,Metchosin,British Columbia,Canada
11137,Jasmine Taylor,Female,31-07-2020,Spokane,Washington,United States
11138,Lauren Davis,Female,19-09-2020,Glendale,California,United States
11139,Tanya Moreno,Female,14-09-2020,Cloverdale,South Australia,Australia
11140,Javier Alvarez,Male,19-03-2020,Burbank,California,United States
11141,Nicole Ramirez,Female,16-05-2020,Daly City,California,United States
11142,Eduardo Patterson,Male,13-02-2020,Langford,British Columbia,Canada
11143,Jonathan Henderson,Male,15-06-2020,Lakewood,California,United States
11144,Edward Hernandez,Male,25-01-2020,Ballard,Washington,United States
11145,Jasmine Coleman,Female,25-01-2020,Beaverton,Oregon,United States
11146,Karla Goel,Female,05-02-2020,Matraville,New South Wales,Australia
11147,Ernest Wu,Male,13-05-2018,Warrnambool,Victoria,Australia
11148,Ross Vazquez,Male,07-03-2020,East Brisbane,Queensland,Australia
11149,Theodore Gill,Male,04-06-2020,Hervey Bay,Queensland,Australia
11150,Russell Shen,Male,27-03-2020,Sunbury,Victoria,Australia
11151,Melinda Gill,Female,15-05-2018,Sydney,New South Wales,Australia
11152,James Williams,Male,09-01-2020,Puyallup,Washington,United States
11153,Angela James,Female,29-03-2020,Renton,Washington,United States
11154,Megan Walker,Female,10-01-2020,Woodburn,Oregon,United States
11155,Hunter Robinson,Male,06-01-2020,Burbank,California,United States
11156,Maria Roberts,Female,08-01-2020,Lakewood,California,United States
11157,Hannah Long,Female,24-07-2020,Tacoma,Washington,United States
11158,Jason Wright,Male,19-01-2020,San Gabriel,California,United States
11159,Brianna Hughes,Female,08-09-2020,Woodland Hills,California,United States
11160,Maurice Tang,Male,21-02-2020,Concord,California,United States
11161,Emily Wood,Female,01-06-2020,Concord,California,United States
11162,Chase Cox,Male,18-02-2020,La Jolla,California,United States
11163,Gabriel Wang,Male,01-05-2020,Spring Valley,California,United States
11164,Devin Brooks,Male,27-04-2020,Torrance,California,United States
11165,Jocelyn Alexander,Female,25-05-2020,Oakland,California,United States
11166,Ashley Martinez,Female,14-10-2020,Olympia,Washington,United States
11167,Jasmine Barnes,Female,07-01-2020,Issaquah,Washington,United States
11168,David Rodriguez,Male,15-01-2020,Oakland,California,United States
11169,Bryce Richardson,Male,26-05-2020,Coronado,California,United States
11170,Carol Howard,Female,26-08-2020,Burien,Washington,United States
11171,Jonathan Hill,Male,20-08-2018,Woodland Hills,California,United States
11172,Gabrielle Adams,Female,03-05-2020,Lynnwood,Washington,United States
11173,Sarah Thomas,Female,02-03-2020,W. Linn,Oregon,United States
11174,Nicholas Robinson,Male,13-07-2020,Los Angeles,California,United States
11175,Luis Wang,Male,28-08-2018,Beverly Hills,California,United States
11176,Mason Roberts,Male,02-02-2020,Haney,British Columbia,Canada
11177,Jose Flores,Male,29-03-2020,San Diego,California,United States
11178,Nathan Johnson,Male,21-02-2020,Lakewood,California,United States
11179,Molly Rodriguez,Female,12-03-2020,Beverly Hills,California,United States
11180,April Anand,Female,17-03-2020,Chula Vista,California,United States
11181,Devin Martin,Male,07-05-2020,Los Angeles,California,United States
11182,Stephanie Torres,Female,28-08-2020,Sedro Woolley,Washington,United States
11183,Jasmine Lee,Female,30-04-2020,Santa Cruz,California,United States
11184,Meghan Hernandez,Female,10-08-2020,Concord,California,United States
11185,Ashley Henderson,Female,21-02-2020,Metchosin,British Columbia,Canada
11186,Sarah Price,Female,18-10-2020,Palo Alto,California,United States
11187,Jennifer Cooper,Female,03-04-2020,Burien,Washington,United States
11188,Catherine Morris,Female,01-11-2020,San Gabriel,California,United States
11189,Lawrence Blanco,Male,26-08-2018,Bellingham,Washington,United States
11190,Carson Bryant,Male,28-08-2020,Beverly Hills,California,United States
11191,Kristi Perez,Female,11-08-2018,Colma,California,United States
11192,James Brown,Male,23-06-2020,Seattle,Washington,United States
11193,Ian Gray,Male,25-02-2020,Woodburn,Oregon,United States
11194,Jacqueline Price,Female,13-03-2020,Palo Alto,California,United States
11195,Megan Henderson,Female,14-04-2020,Renton,Washington,United States
11196,Alfredo Romero,Male,03-03-2020,Beaverton,Oregon,United States
11197,Andrea Morris,Female,02-05-2020,Seattle,Washington,United States
11198,Brooke Sanders,Female,05-02-2020,Santa Cruz,California,United States
11199,Jacqueline Bennett,Female,18-03-2020,Burlingame,California,United States
11200,Jason Griffin,Male,07-02-2020,Victoria,British Columbia,Canada
11201,Amanda Foster,Female,01-07-2020,Santa Monica,California,United States
11202,Alexia Price,Female,15-09-2020,Lakewood,California,United States
11203,Luis Diaz,Male,20-02-2020,Port Hammond,British Columbia,Canada
11204,Destiny Rivera,Female,09-08-2020,Beaverton,Oregon,United States
11205,Abby Fernandez,Female,27-07-2020,Burien,Washington,United States
11206,Blake Flores,Male,11-05-2020,Lynnwood,Washington,United States
11207,Danielle Cox,Female,31-01-2020,Renton,Washington,United States
11208,Maria Reed,Female,04-03-2020,Glendale,California,United States
11209,Allison Evans,Female,25-03-2020,Lincoln Acres,California,United States
11210,Edward Wood,Male,06-05-2020,West Covina,California,United States
11211,Samantha Russell,Female,01-02-2020,Haney,British Columbia,Canada
11212,Chloe Campbell,Female,30-01-2020,Metchosin,British Columbia,Canada
11213,Stephanie Murphy,Female,28-03-2020,Edmonds,Washington,United States
11214,Charles Miller,Male,14-08-2020,Milwaukie,Oregon,United States
11215,Ana Perry,Female,15-02-2020,Royal Oak,British Columbia,Canada
11216,Jasmine Torres,Female,15-08-2018,Portland,Oregon,United States
11217,Natalie Adams,Female,10-08-2018,Portland,Oregon,United States
11218,Olivia Brown,Female,28-02-2020,Tacoma,Washington,United States
11219,Charles Cook,Male,29-10-2020,Woodburn,Oregon,United States
11220,Erica Huang,Female,14-03-2020,Colma,California,United States
11221,Nathan Perry,Male,07-04-2020,Lakewood,California,United States
11222,Alexandra Rivera,Female,01-11-2020,Santa Monica,California,United States
11223,Hailey Patterson,Female,29-01-2020,Langley,British Columbia,Canada
11224,Tiffany Li,Female,07-08-2018,Burien,Washington,United States
11225,Madison Lee,Female,22-06-2020,Renton,Washington,United States
11226,Sydney Ross,Female,21-02-2020,W. Linn,Oregon,United States
11227,Marshall Chavez,Male,03-08-2018,Colma,California,United States
11228,Ashley Jones,Female,25-10-2020,El Cajon,California,United States
11229,Adrian Stewart,Male,27-07-2020,Redwood City,California,United States
11230,Amber Turner,Female,16-07-2020,Santa Monica,California,United States
11231,Dennis Zhang,Male,10-02-2020,Bremerton,Washington,United States
11232,Hailey Bryant,Female,20-09-2020,Everett,Washington,United States
11233,Todd Li,Male,08-02-2020,Berkeley,California,United States
11234,Anna Griffin,Female,08-02-2020,Long Beach,California,United States
11235,Angel Stewart,Male,04-07-2020,Ballard,Washington,United States
11236,Jeremy Butler,Male,03-10-2020,Bellingham,Washington,United States
11237,Clarence Anand,Male,05-09-2018,Solingen,Nordrhein-Westfalen,Germany
11238,Mayra Prasad,Female,06-01-2018,Birmingham,England,United Kingdom
11239,Latoya Goel,Female,19-01-2018,London,England,United Kingdom
11240,Anne Hernandez,Female,27-02-2018,Watford,England,United Kingdom
11241,Lisa Cai,Female,10-09-2019,Les Ulis,Essonne,France
11242,Larry Munoz,Male,19-09-2019,Versailles,Yveline,France
11243,Robin Alvarez,Female,21-02-2018,Esher-Molesey,England,United Kingdom
11244,Alexis Coleman,Female,12-02-2018,Runcorn,England,United Kingdom
11245,Ricky Vazquez,Male,26-09-2018,Hamburg,Hessen,Germany
11246,Latasha Rubio,Female,03-10-2018,Hamburg,Hamburg,Germany
11247,Claudia Zhou,Female,18-02-2018,Lancaster,England,United Kingdom
11248,Tristan Alexander,Male,14-07-2020,Saint-Denis,Seine Saint Denis,France
11249,Cindy Patel,Female,09-10-2018,Sulzbach Taunus,Saarland,Germany
11250,Shannon Liu,Female,17-03-2018,Woolston,England,United Kingdom
11251,Xavier Long,Male,18-10-2020,Haney,British Columbia,Canada
11252,Nicholas Thompson,Male,14-08-2018,Lemon Grove,California,United States
11253,José Hernandez,Male,01-03-2020,Victoria,British Columbia,Canada
11254,Johnathan Vance,Male,23-11-2020,Burien,Washington,United States
11255,Colin Lin,Male,23-02-2020,Burien,Washington,United States
11256,Katelyn Hernandez,Female,15-04-2020,Lynnwood,Washington,United States
11257,Jacqueline Powell,Female,24-08-2018,Newport Beach,California,United States
11258,Xavier Hill,Male,21-05-2020,Palo Alto,California,United States
11259,Victoria Stewart,Female,04-09-2018,Salem,Oregon,United States
11260,Katelyn Kelly,Female,05-02-2020,Burlingame,California,United States
11261,Stephanie Collins,Female,27-09-2018,San Diego,California,United States
11262,Jennifer Simmons,Female,27-02-2020,Port Hammond,British Columbia,Canada
11263,Trinity Richardson,Female,29-08-2018,Burien,Washington,United States
11264,Eduardo Martin,Male,02-01-2020,Issaquah,Washington,United States
11265,Elizabeth Jones,Female,03-01-2020,Kirkland,Washington,United States
11266,Taylor Howard,Female,10-09-2018,Port Orchard,Washington,United States
11267,David Diaz,Male,17-09-2018,Burlingame,California,United States
11268,Katelyn Carter,Female,29-05-2020,Coronado,California,United States
11269,Ryan Foster,Male,22-08-2020,Daly City,California,United States
11270,Robert Lee,Male,10-09-2018,Lakewood,California,United States
11271,Danielle Reed,Female,27-09-2018,San Francisco,California,United States
11272,Lauren Martinez,Female,19-09-2018,Beverly Hills,California,United States
11273,Nathan Lal,Male,14-05-2020,La Jolla,California,United States
11274,Kyle Foster,Male,29-08-2018,Bellingham,Washington,United States
11275,Jenny Rai,Female,30-08-2018,Colma,California,United States
11276,Nancy Chapman,Female,29-01-2020,Cliffside,British Columbia,Canada
11277,Charles Jackson,Male,02-02-2020,Royal Oak,British Columbia,Canada
11278,Jonathan Phillips,Male,16-09-2018,Edmonds,Washington,United States
11279,Amanda Cook,Female,03-03-2020,Everett,Washington,United States
11280,Robert Collins,Male,01-07-2020,Lynnwood,Washington,United States
11281,Megan Barnes,Female,13-09-2018,Burbank,California,United States
11282,Christian Thomas,Male,31-08-2018,Burien,Washington,United States
11283,Arturo Lal,Male,29-05-2020,Berkeley,California,United States
11284,Theresa Serrano,Female,06-02-2020,Chula Vista,California,United States
11285,Jeremy Anderson,Male,27-07-2020,Fremont,California,United States
11286,Hunter Griffin,Male,21-09-2018,Torrance,California,United States
11287,Henry Garcia,Male,29-01-2020,Cliffside,British Columbia,Canada
11288,Cindy Sanchez,Female,05-03-2020,Burbank,California,United States
11289,Maria Carter,Female,08-09-2018,Downey,California,United States
11290,Katelyn Sanchez,Female,20-09-2018,Lakewood,California,United States
11291,Jenna Wright,Female,04-09-2018,Lemon Grove,California,United States
11292,Seth Phillips,Male,15-09-2018,San Gabriel,California,United States
11293,Luke Long,Male,24-02-2020,Port Orchard,Washington,United States
11294,Dalton Clark,Male,25-09-2020,Issaquah,Washington,United States
11295,Taylor Lewis,Female,25-09-2018,Concord,California,United States
11296,Haley Richardson,Female,01-09-2018,Everett,Washington,United States
11297,Noah Coleman,Male,26-09-2018,Burbank,California,United States
11298,Jon Luo,Male,12-09-2018,Chula Vista,California,United States
11299,Orlando Vazquez,Male,26-09-2018,Burbank,California,United States
11300,Fernando Barnes,Male,31-01-2020,N. Vancouver,British Columbia,Canada
11301,Cameron Rodriguez,Male,09-06-2020,Ballard,Washington,United States
11302,Spencer Russell,Male,06-09-2018,Corvallis,Oregon,United States
11303,Julia Coleman,Female,02-09-2018,Edmonds,Washington,United States
11304,Julia Garcia,Female,20-03-2020,Portland,Oregon,United States
11305,Sean Evans,Male,25-03-2020,Chula Vista,California,United States
11306,Micah Zhou,Male,30-06-2020,Coronado,California,United States
11307,Hunter Rodriguez,Male,04-09-2018,Daly City,California,United States
11308,Ian Gonzales,Male,07-09-2020,Oregon City,Oregon,United States
11309,Victoria Lewis,Female,09-07-2020,Beaverton,Oregon,United States
11310,Erin Sanders,Female,12-08-2020,San Francisco,California,United States
11311,Gabrielle Lopez,Female,18-04-2020,Lynnwood,Washington,United States
11312,Sara Richardson,Female,17-05-2020,Lynnwood,Washington,United States
11313,Trevor Jenkins,Male,07-05-2020,Port Orchard,Washington,United States
11314,Mya Flores,Female,25-02-2020,Issaquah,Washington,United States
11315,Hailey Ward,Female,20-05-2020,Port Orchard,Washington,United States
11316,Luke Allen,Male,12-01-2020,Langford,British Columbia,Canada
11317,Victoria Russell,Female,01-09-2018,Salem,Oregon,United States
11318,Jessica Wilson,Female,17-10-2020,Edmonds,Washington,United States
11319,Jade Bailey,Female,09-09-2018,Oakland,California,United States
11320,Morgan Hill,Female,15-06-2020,Glendale,California,United States
11321,Terrance Raman,Male,23-02-2020,Burien,Washington,United States
11322,Sydney Garcia,Female,24-03-2020,Bremerton,Washington,United States
11323,Jose Patterson,Male,10-09-2018,Daly City,California,United States
11324,Zachary Anderson,Male,26-09-2018,Glendale,California,United States
11325,Elijah Ross,Male,19-09-2018,Seattle,Washington,United States
11326,Rafael Xie,Male,15-09-2018,Beverly Hills,California,United States
11327,Jaime Moreno,Male,26-09-2018,Burbank,California,United States
11328,Julian Griffin,Male,05-01-2020,Newton,British Columbia,Canada
11329,Andy Alvarez,Male,25-09-2018,Concord,California,United States
11330,Ryan Thompson,Male,12-02-2020,Oak Bay,British Columbia,Canada
11331,Samantha Jenkins,Female,07-02-2020,Shawnee,British Columbia,Canada
11332,Deanna Ramos,Female,15-10-2018,Berlin,Nordrhein-Westfalen,Germany
11333,Emily Miller,Female,21-03-2018,Newcastle upon Tyne,England,United Kingdom
11334,Nicole Brown,Female,04-03-2018,Stoke-on-Trent,England,United Kingdom
11335,Carla Raman,Female,23-10-2018,Hof,Bayern,Germany
11336,Shaun Raji,Male,27-09-2019,Paris,Seine (Paris),France
11337,Jerome Romero,Male,09-03-2018,Watford,England,United Kingdom
11338,Frank Navarro,Male,11-10-2018,Bonn,Nordrhein-Westfalen,Germany
11339,Dennis She,Male,07-10-2019,Paris,Seine (Paris),France
11340,Melody Munoz,Female,27-10-2019,Paris,Seine (Paris),France
11341,Randy Zeng,Male,11-04-2018,Cheltenham,England,United Kingdom
11342,Marshall Wang,Male,12-07-2020,Boulogne-sur-Mer,Pas de Calais,France
11343,Arthur Carlson,Male,04-04-2018,Oxon,England,United Kingdom
11344,Jessie Jimenez,Female,13-05-2018,Oxford,England,United Kingdom
11345,Robin Ramos,Female,22-10-2019,Tremblay-en-France,Seine Saint Denis,France
11346,Deanna Gutierrez,Female,01-10-2019,Paris,Seine (Paris),France
11347,Roy Navarro,Male,16-03-2020,Braunschweig,Nordrhein-Westfalen,Germany
11348,Shawn Rai,Male,31-03-2020,Paderborn,Hamburg,Germany
11349,Mindy Luo,Female,13-01-2021,München,Hessen,Germany
11350,Cara Zhou,Female,05-02-2020,Peterborough,England,United Kingdom
11351,Anne Ramos,Female,12-06-2018,London,England,United Kingdom
11352,Raymond Rodriguez,Male,01-05-2020,Pantin,Seine Saint Denis,France
11353,Carrie Ortega,Female,12-06-2018,Warrington,England,United Kingdom
11354,Deanna Suarez,Female,03-12-2020,Grevenbroich,Bayern,Germany
11355,Roberto Gutierrez,Male,26-09-2020,Wokingham,England,United Kingdom
11356,Terrence Carson,Male,10-05-2018,Lavender Bay,New South Wales,Australia
11357,Ramon Ye,Male,18-06-2018,Caloundra,Queensland,Australia
11358,Cynthia Malhotra,Female,28-06-2018,Coffs Harbour,New South Wales,Australia
11359,Jarrod Prasad,Male,13-06-2018,Malabar,New South Wales,Australia
11360,Tyrone Serrano,Male,27-06-2018,Rockhampton,Queensland,Australia
11361,Cindy Ramos,Female,01-10-2020,Newcastle,New South Wales,Australia
11362,Damien Shan,Male,29-03-2020,Cranbourne,Victoria,Australia
11363,Julian Ross,Male,08-06-2018,Melbourne,Victoria,Australia
11364,Jennifer Collins,Female,07-06-2018,Geelong,Victoria,Australia
11365,Brittney Sun,Female,31-05-2018,Findon,South Australia,Australia
11366,Virginia Patel,Female,24-06-2020,Seaford,Victoria,Australia
11367,Calvin Nara,Male,07-07-2020,North Sydney,New South Wales,Australia
11368,Edward Miller,Male,24-06-2018,Rockhampton,Queensland,Australia
11369,Ashlee Tang,Female,05-07-2020,Findon,South Australia,Australia
11370,Alicia Xu,Female,13-07-2020,South Melbourne,Victoria,Australia
11371,Lacey Jai,Female,07-11-2020,Rockhampton,Queensland,Australia
11372,Wendy Romero,Female,07-06-2018,Brisbane,Queensland,Australia
11373,Carly Luo,Female,27-08-2020,Salzgitter,Hessen,Germany
11374,Jimmy Ortega,Male,15-04-2020,Werne,Nordrhein-Westfalen,Germany
11375,Francisco Martinez,Male,17-10-2020,High Wycombe,England,United Kingdom
11376,Lance Vazquez,Male,15-10-2020,Liverpool,England,United Kingdom
11377,David Robinett,Male,28-02-2020,Solingen,Nordrhein-Westfalen,Germany
11378,Shannon Liang,Female,17-10-2019,Metz,Moselle,France
11379,Gary Vazquez,Male,02-10-2019,Boulogne-Billancourt,Hauts de Seine,France
11380,Mitchell Kumar,Male,11-10-2018,Saarlouis,Saarland,Germany
11381,Meredith Raman,Female,12-06-2018,London,England,United Kingdom
11382,Edward Patterson,Male,03-11-2019,Roubaix,Nord,France
11383,Marie Gill,Female,01-01-2021,Roissy en Brie,Seine et Marne,France
11384,Tiffany Wang,Female,02-08-2020,Les Ulis,Essonne,France
11385,Miguel Allen,Male,06-07-2020,York,England,United Kingdom
11386,Jaclyn Cai,Female,02-11-2020,Darmstadt,Hessen,Germany
11387,Megan Ramirez,Female,26-07-2018,Gateshead,England,United Kingdom
11388,Joseph Martin,Male,03-07-2018,York,England,United Kingdom
11389,Karl Shan,Male,17-11-2020,Duesseldorf,Hessen,Germany
11390,Christine Raji,Female,07-11-2020,Saint Germain en Laye,Yveline,France
11391,Lindsay Xie,Female,26-10-2020,Salzgitter,Hessen,Germany
11392,Willie Zhao,Male,29-03-2020,Frankfurt,Hessen,Germany
11393,Kurt Pal,Male,16-07-2020,Saint Ouen,Loir et Cher,France
11394,George McDonald,Male,04-07-2018,Milton Keynes,England,United Kingdom
11395,Beth Gutierrez,Female,14-11-2018,Frankfurt,Bayern,Germany
